Id,dia_de_la_semana,dia,mes,ano,contador_ruta_reforma222,contador_ruta_revolucion,contador_ruta_patriotismo
1,jueves,5,diciembre,2013,2516,NA,NA
2,lunes,9,diciembre,2013,2132,NA,NA
3,viernes,22,junio,2018,2913,980,1163
4,martes,10,julio,2018,2531,877,1013
5,sábado,7,julio,2018,1534,616,584
6,sábado,29,septiembre,2018,1751,603,643
7,viernes,27,julio,2018,2873,867,1067
8,lunes,6,agosto,2018,33,803,NA
9,martes,28,mayo,2019,4015,1125,1416
10,domingo,16,marzo,2014,1275,NA,NA
11,lunes,10,marzo,2014,2491,NA,NA
12,miércoles,3,septiembre,2014,1982,NA,NA
13,sábado,6,septiembre,2014,1471,NA,NA
14,miércoles,30,julio,2014,2367,NA,NA
15,lunes,7,julio,2014,1957,NA,NA
16,miércoles,1,octubre,2014,2748,NA,NA
17,martes,14,octubre,2014,2189,NA,NA
18,miércoles,26,noviembre,2014,2645,NA,NA
19,miércoles,29,octubre,2014,2739,NA,NA
20,viernes,21,noviembre,2014,2422,NA,NA
21,viernes,28,noviembre,2014,2544,NA,NA
22,lunes,16,febrero,2015,2427,NA,NA
23,viernes,17,abril,2015,2726,NA,NA
24,lunes,23,marzo,2015,23,NA,NA
25,miércoles,24,diciembre,2014,415,NA,NA
26,domingo,28,diciembre,2014,1225,NA,NA
27,martes,16,diciembre,2014,2511,NA,NA
28,miércoles,27,julio,2016,2644,717,787
29,lunes,25,julio,2016,1855,645,711
30,domingo,10,julio,2016,1013,528,462
31,jueves,21,julio,2016,2675,803,801
32,sábado,11,junio,2016,1279,NA,NA
33,jueves,28,abril,2016,2975,NA,NA
34,domingo,11,septiembre,2016,972,464,495
35,viernes,2,septiembre,2016,2704,852,934
36,lunes,12,septiembre,2016,252,785,824
37,lunes,29,agosto,2016,2642,809,842
38,viernes,4,enero,2019,3133,662,846
39,domingo,29,diciembre,2013,1219,NA,NA
40,jueves,26,diciembre,2013,1426,NA,NA
41,domingo,26,enero,2014,1545,NA,NA
42,domingo,5,enero,2014,988,NA,NA
43,miércoles,12,febrero,2014,2793,NA,NA
44,martes,4,febrero,2014,2579,NA,NA
45,jueves,30,enero,2014,2767,NA,NA
46,domingo,25,diciembre,2016,520,251,449
47,jueves,22,diciembre,2016,2393,797,839
48,sábado,14,enero,2017,1442,573,571
49,martes,17,enero,2017,3071,1019,1203
50,miércoles,22,marzo,2017,3195,1183,1327
51,miércoles,1,marzo,2017,3269,1168,1371
52,viernes,3,marzo,2017,2921,1013,1199
53,martes,21,marzo,2017,2997,108,1302
54,miércoles,21,septiembre,2016,2551,773,844
55,domingo,18,septiembre,2016,1217,487,560
56,miércoles,5,octubre,2016,3197,909,1073
