Día de la semana,Día,Mes,Año,Fecha,Reforma,Revolución,Patriotismo,total
sabado,16,noviembre,2013,2013-11-16,613,0,0,613
domingo,17,noviembre,2013,2013-11-17,1084,0,0,1084
lunes,18,noviembre,2013,2013-11-18,1073,0,0,1073
martes,19,noviembre,2013,2013-11-19,1344,0,0,1344
miercoles,20,noviembre,2013,2013-11-20,2394,0,0,2394
jueves,21,noviembre,2013,2013-11-21,2215,0,0,2215
viernes,22,noviembre,2013,2013-11-22,205,0,0,205
sabado,23,noviembre,2013,2013-11-23,1668,0,0,1668
domingo,24,noviembre,2013,2013-11-24,1126,0,0,1126
lunes,25,noviembre,2013,2013-11-25,2165,0,0,2165
martes,26,noviembre,2013,2013-11-26,2761,0,0,2761
miercoles,27,noviembre,2013,2013-11-27,2383,0,0,2383
jueves,28,noviembre,2013,2013-11-28,2478,0,0,2478
viernes,29,noviembre,2013,2013-11-29,2259,0,0,2259
sabado,30,noviembre,2013,2013-11-30,127,0,0,127
domingo,1,diciembre,2013,2013-12-01,957,0,0,957
lunes,2,diciembre,2013,2013-12-02,2211,0,0,2211
martes,3,diciembre,2013,2013-12-03,2541,0,0,2541
miercoles,4,diciembre,2013,2013-12-04,2597,0,0,2597
jueves,5,diciembre,2013,2013-12-05,2516,0,0,2516
viernes,6,diciembre,2013,2013-12-06,2481,0,0,2481
sabado,7,diciembre,2013,2013-12-07,1253,0,0,1253
domingo,8,diciembre,2013,2013-12-08,1068,0,0,1068
lunes,9,diciembre,2013,2013-12-09,2132,0,0,2132
martes,10,diciembre,2013,2013-12-10,264,0,0,264
miercoles,11,diciembre,2013,2013-12-11,2583,0,0,2583
jueves,12,diciembre,2013,2013-12-12,2069,0,0,2069
viernes,13,diciembre,2013,2013-12-13,2222,0,0,2222
sabado,14,diciembre,2013,2013-12-14,1266,0,0,1266
domingo,15,diciembre,2013,2013-12-15,914,0,0,914
lunes,16,diciembre,2013,2013-12-16,2215,0,0,2215
martes,17,diciembre,2013,2013-12-17,2246,0,0,2246
miercoles,18,diciembre,2013,2013-12-18,2282,0,0,2282
jueves,19,diciembre,2013,2013-12-19,2165,0,0,2165
viernes,20,diciembre,2013,2013-12-20,2079,0,0,2079
sabado,21,diciembre,2013,2013-12-21,1121,0,0,1121
domingo,22,diciembre,2013,2013-12-22,862,0,0,862
lunes,23,diciembre,2013,2013-12-23,1502,0,0,1502
martes,24,diciembre,2013,2013-12-24,1046,0,0,1046
miercoles,25,diciembre,2013,2013-12-25,475,0,0,475
jueves,26,diciembre,2013,2013-12-26,1426,0,0,1426
viernes,27,diciembre,2013,2013-12-27,134,0,0,134
sabado,28,diciembre,2013,2013-12-28,1052,0,0,1052
domingo,29,diciembre,2013,2013-12-29,1219,0,0,1219
lunes,30,diciembre,2013,2013-12-30,1522,0,0,1522
martes,31,diciembre,2013,2013-12-31,1554,0,0,1554
miercoles,1,enero,2014,2014-01-01,727,0,0,727
jueves,2,enero,2014,2014-01-02,138,0,0,138
viernes,3,enero,2014,2014-01-03,1524,0,0,1524
sabado,4,enero,2014,2014-01-04,113,0,0,113
domingo,5,enero,2014,2014-01-05,988,0,0,988
lunes,6,enero,2014,2014-01-06,1838,0,0,1838
martes,7,enero,2014,2014-01-07,2062,0,0,2062
miercoles,8,enero,2014,2014-01-08,2257,0,0,2257
jueves,9,enero,2014,2014-01-09,2203,0,0,2203
viernes,10,enero,2014,2014-01-10,2349,0,0,2349
sabado,11,enero,2014,2014-01-11,13,0,0,13
domingo,12,enero,2014,2014-01-12,1225,0,0,1225
lunes,13,enero,2014,2014-01-13,2255,0,0,2255
martes,14,enero,2014,2014-01-14,243,0,0,243
miercoles,15,enero,2014,2014-01-15,2283,0,0,2283
jueves,16,enero,2014,2014-01-16,2271,0,0,2271
viernes,17,enero,2014,2014-01-17,2297,0,0,2297
sabado,18,enero,2014,2014-01-18,1483,0,0,1483
domingo,19,enero,2014,2014-01-19,1107,0,0,1107
lunes,20,enero,2014,2014-01-20,2382,0,0,2382
martes,21,enero,2014,2014-01-21,2503,0,0,2503
miercoles,22,enero,2014,2014-01-22,2515,0,0,2515
jueves,23,enero,2014,2014-01-23,2442,0,0,2442
viernes,24,enero,2014,2014-01-24,2446,0,0,2446
sabado,25,enero,2014,2014-01-25,1346,0,0,1346
domingo,26,enero,2014,2014-01-26,1545,0,0,1545
lunes,27,enero,2014,2014-01-27,24,0,0,24
martes,28,enero,2014,2014-01-28,2581,0,0,2581
miercoles,29,enero,2014,2014-01-29,2579,0,0,2579
jueves,30,enero,2014,2014-01-30,2767,0,0,2767
viernes,31,enero,2014,2014-01-31,2653,0,0,2653
sabado,1,febrero,2014,2014-02-01,1369,0,0,1369
domingo,2,febrero,2014,2014-02-02,1141,0,0,1141
