PUNTO_LEV,ID_UNICO,FOLIO,CALLE_LEV,CALLE_1,CALLE_2,RESUL,F1,P1,MUNORI,P2_COL,P2_REF1,P2_REF2,P3,MUNDES,P4_COL,P4_REF1,P4_REF2,P5,P6,P7_HR,P7_MIN,P8_HR,P8_MIN,P9,P9_1,P10,P11,P11_1,P12,P13,P14_1,P14_2,P14_3,P14_4,P15,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17,P17_1,P17_2,P17_3,P18,P19,P20,P21_NIVEL,NIVEL,P21_AÑO,P22,P23,P23_1,P24,P24_1,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P27,FACTOR
11,103,6,CAMINO VIEJO A MIXCOAC,3RA CERRADA TORRES TEPITO,2DA CERRADA TORRES TEPITO,1,48,2,09010,SAN BARTOLO,,,1,09010,SAN BARTOLO,,,5,2,17,30,17,55,2,0.0,,2,0.0,,2,2,1,1,2,3,2,1,2,2,1,1,2,2,1,2,3,2,1,1,1,4,3,3,60,5000,3,1,2,4,2,2,1,2,2,2,2,1,4,30.26
9,75,2,VASCO DE QUIROGA,POLVORA,,1,35,1,09010,LA MEXICANA,,,3,09010,NO RECUERDA,,,2,9,10,40,11,5,2,0.0,,2,0.0,,1,3,4,4,4,10,1,2,2,2,1,2,1,2,1,1,3,2,2,,1,9,5,1,200,30000,6,1,2,4,2,2,1,2,2,2,2,2,4,26.72
9,79,5,VASCO DE QUIROGA,POLVORA,,1,43,2,09010,MEXICANA,,,2,09010,SANTA FE,,,4,1,11,45,11,55,2,0.0,,2,0.0,,1,4,4,4,4,10,2,2,2,2,1,2,2,2,1,2,9,1,2,,1,3,1,4,170,8000,4,1,2,2,2,2,2,2,2,2,1,2,4,26.72
8,70,5,POSTA,STA LUCIA,,1,54,1,09010,AMPLIACION PILOTO,,,7,09010,COLINA DEL SUR,,,4,9,14,2,14,20,1,1.0,4,2,0.0,,1,4,4,4,4,3,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,800,999999,4,1,2,1,2,2,2,2,2,2,2,2,3,73.07
18,145,2,CALZADA DE LOS LEONES,CALZADA DE LOS LEONES,5 DE MAYO,1,35,1,09010,BOSQUE DE TARANGO,,,4,09010,SAN ANGEL,,,4,4,9,32,10,16,2,0.0,,2,0.0,,1,1,1,2,2,10,2,1,2,2,1,2,1,1,1,2,2,2,2,,1,8,5,5,600,12000,5,1,2,4,2,2,2,2,2,2,2,2,4,224.51
19,156,6,AV. DE LAS CULTURAS,CULTURA GRIEGA,,1,25,1,15104,LOS REYES DE IXTACALA,,,2,09002,CD. VALLE,,,2,1,9,0,9,40,2,0.0,,2,0.0,,2,4,4,4,4,10,1,1,2,2,2,1,2,2,2,,,,2,,1,5,4,3,500,4000,3,1,2,1,2,2,1,2,2,2,2,1,6,71.66
12,113,9,,AV RENATO LEDUC,SILLON DE MENDOZA,1,28,7,09012,SAN LORENZO,,,2,09012,TORILLO GUERRA,,,4,1,14,50,15,3,2,0.0,,2,0.0,,1,4,4,4,4,1,2,2,2,2,1,1,1,2,2,,,,2,,1,8,5,4,300,5000,3,1,2,3,2,2,2,2,2,2,2,2,4,30.31
21,219,18,FAJA DE ORO,CERRO AZUL,,1,21,3,15057,,CCH NAUCALPAN,,1,09002,CAMARONES,,,9,2,18,30,20,0,1,1.0,1,1,1.0,6,1,1,1,3,3,1,2,2,2,2,1,2,2,2,1,1,3,2,1,1,1,5,4,3,100,999999,3,1,2,1,2,2,2,2,2,2,2,2,5,25.29
21,212,11,FAJA DE ORO,CERRO AZUL,,1,18,1,09002,PETROLERA,PUESTO DE COMIDA,,2,09002,PETROLERA,,,4,1,15,1,15,25,1,2.0,2,2,0.0,,1,1,2,3,3,9,2,2,2,2,1,2,2,2,2,,,,1,1,1,5,4,3,100,999999,3,1,2,1,2,2,2,2,2,2,2,1,5,25.29
21,211,10,FAJA DE ORO,CERRO AZUL,,1,61,1,09002,REYNOSA,,,2,09002,PETROLERA,,,4,1,13,38,13,55,2,0.0,,2,0.0,,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,3,6,2,1,1,1,4,3,3,50,1500,2,1,2,2,1,1,2,2,2,2,2,2,4,25.29
