calle_lev,edad,origen,destino,motivo_viaje,motivo_dejar_bici,robado_bici,robo_forma,sexo,educacion,ingreso_mensual
CAMINO VIEJO A MIXCOAC,48,2,1,2,Cambio de trabajo,Sí,Estacionada,Hombre,4,3
VASCO DE QUIROGA,35,1,3,9,Ningún motivo,No,,Hombre,9,6
VASCO DE QUIROGA,43,2,2,1,Ningún motivo,No,,Hombre,3,4
POSTA,54,1,7,9,Cambio de trabajo,No,,Hombre,4,4
CALZADA DE LOS LEONES,35,1,4,4,Ningún motivo,No,,Hombre,8,5
AV. DE LAS CULTURAS,25,1,2,1,Ningún motivo,No,,Hombre,5,3
,28,7,2,1,Lesión o incapacidad,No,,Hombre,8,3
FAJA DE ORO,21,3,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,5,3
FAJA DE ORO,18,1,2,1,No haya bici disponible,Sí,Estacionada,Hombre,5,3
FAJA DE ORO,61,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,2
FAJA DE ORO,50,1,4,4,Fala mecánica de bici,No,,Hombre,5,9
FAJA DE ORO,42,1,2,1,Lesión o incapacidad,No,,Hombre,3,9
FAJA DE ORO,39,1,2,1,Clima,Sí,Estacionada,Mujer,4,3
EL ROSARIO,57,1,7,6,Ningún motivo,No,,Mujer,8,9
AV. DE LAS CULTURAS,21,3,1,2,Inseguridad,No,,Mujer,8,4
AV. DE LAS GRANJAS,25,1,2,1,Falta de infraestructura,No,,Hombre,5,2
CAMINO A NEXTENGO,43,4,1,2,Ningún motivo,No,,Mujer,5,2
AV. CUITLAHUAC,19,2,5,1,Clima,No,,Hombre,5,1
CAMARONES,18,1,3,3,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
AV. CUITLAHUAC,20,4,1,2,Clima,No,,Hombre,5,3
CALZADA ERMITA IZTAPALAPA,21,2,1,2,Fala mecánica de bici,Sí,Estacionada,Mujer,5,4
CALZADA ERMITA IZTAPALAPA,24,2,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,7,3
CALZADA ERMITA IZTAPALAPA,49,2,4,4,Clima,Sí,Estacionada,Mujer,7,5
ISABEL LA CATOLICA,55,2,2,8,Lesión o incapacidad,No,,Hombre,3,2
INDEPENDENCIA,69,1,2,8,Fala mecánica de bici,Sí,Estacionada,Hombre,4,3
AV. MICHOACAN,28,2,1,2,Ningún motivo,No,,Hombre,4,4
AV GUELATAO,34,4,1,2,Lesión o incapacidad,No,,Hombre,4,3
AV GUELATAO,20,1,2,1,Lesión o incapacidad,Sí,En movimiento,Hombre,8,3
AV GELATAO,54,1,7,1,Inseguridad,No,,Hombre,3,2
ERMITA IZTAPALAPA,27,1,2,1,Clima,Sí,En movimiento,Hombre,4,3
AV GAVILAN,17,1,5,10,No sé,No,,Hombre,5,9
ERMITA IZTAPALAPA,19,1,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,4,2
CAMINO ANTIGUO CULHUCAN,14,1,4,4,Llevar prisa,No,,Mujer,5,9
AV. JALISCO,15,1,2,1,Lesión o incapacidad,No,,Hombre,4,4
NI?OS HEROES,53,5,2,1,Ningún motivo,Sí,Estacionada,Hombre,3,9
NI?OS HEROES,54,1,4,4,Lesión o incapacidad,No,,Hombre,3,9
NI?OS HEROES,43,1,2,8,Cambio de trabajo,Sí,En movimiento,Hombre,4,3
NI?OS HEROES,30,1,2,1,Clima,Sí,Estacionada,Hombre,5,4
NI?OS HEROES,36,1,4,4,Recorrido muy largo,No,,Mujer,7,2
NI?OS HEROES,38,1,2,1,Ningún motivo,No,,Hombre,4,4
CAMINO DE SANTA TERESA,28,2,2,8,Cambio de trabajo,No,,Hombre,3,2
AV. FRANCISCO TLALTENCO,72,1,4,4,Ningún motivo,Sí,En movimiento,Hombre,4,1
AV. FRANCISCO TLALTENCO,17,2,1,2,Clima,No,,Hombre,3,9
AV. FRANCISCO TLALTENCO,31,1,5,10,Lesión o incapacidad,Sí,Estacionada,Mujer,4,3
AV. VILLA FRANQUEZA,23,4,1,2,Fala mecánica de bici,No,,Mujer,4,1
AV DEL ROSAL,69,2,2,8,Fala mecánica de bici,No,,Hombre,4,4
AV DEL ARBOL,20,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,4
MARIANO MATAMOROS COL CONCEPCION,50,1,2,1,Lesión o incapacidad,No,,Hombre,5,6
AV. SAN JERONOIMO,26,1,7,6,Fala mecánica de bici,No,,Hombre,5,3
AV. SAN JERONIMO,23,7,7,6,Fala mecánica de bici,No,,Mujer,5,5
AV SAN LUIS CABRERA,13,1,7,9,Fala mecánica de bici,No,,Hombre,4,9
AVENIDA PALMAS,22,1,2,1,Ningún motivo,No,,Hombre,4,3
AV. VILLA FRANQUEZA,32,1,7,4,Lesión o incapacidad,Sí,Estacionada,Mujer,3,2
AV. VILLA FRANQUEZA,50,2,1,2,Ningún motivo,Sí,Estacionada,Hombre,4,3
AV. VILLA FRANQUEZA,53,1,5,5,Inseguridad,No,,Hombre,4,4
AV. VILLA FRANQUEZA,26,2,1,2,Lesión o incapacidad,No,,Hombre,4,3
AV. CONSTITUYENTES,50,1,2,8,Lesión o incapacidad,No,,Hombre,5,4
SCHILLER,20,2,2,8,Fala mecánica de bici,Sí,Estacionada,Hombre,4,3
VOSGOS,27,2,1,2,Clima,Sí,Estacionada,Hombre,5,4
MARIANA NACIONAL,55,1,2,1,Fala mecánica de bici,No,,Hombre,5,3
AV. MARINA NACIONAL,43,2,2,8,Fala mecánica de bici,No,,Hombre,4,2
REFORMA,14,1,4,4,Lesión o incapacidad,No,,Hombre,4,1
LAGUNA DE MAYRAN,18,1,4,4,Ningún motivo,No,,Hombre,5,9
SCHILLER,25,1,7,6,Ningún motivo,Sí,Estacionada,Hombre,8,9
REFORMA,34,2,2,8,Recorrido muy largo,Sí,Estacionada,Hombre,5,1
MIHUEL HIDALGO,30,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,9,6
FRAY SERVANDO TERESA DE MIER,73,4,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,4,9
FRAY SERVANDO TERESA DE MIER,38,7,1,2,Ningún motivo,No,,Hombre,3,2
AV. REVOLUCION,20,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,3,4
VA. MIGUEL HIDALGO,26,1,7,6,Inseguridad,No,,Hombre,8,4
AV MIGUEL HIDALGO,40,2,1,2,Ningún motivo,No,,Mujer,5,4
VA MIGUEL HIDALGO,41,2,1,2,Falta de infraestructura,Sí,Estacionada,Hombre,5,4
AV. LUIS DELGADO,35,7,6,8,Fala mecánica de bici,No,,Mujer,3,9
