folio,fecha_creacion,hora_creacion,dia_semana,codigo_cierre,fecha_cierre,año_cierre,mes_cierre,hora_cierre,delegacion_inicio,incidente_c4,latitud,longitud,clas_con_f_alarma,tipo_entrada,delegacion_cierre,geopoint,mes
C5/191016/01871,16/10/2019,09:04:53,Miércoles,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",16/10/2019,2019,Octubre,09:23:53,VENUSTIANO CARRANZA,accidente-ciclista,19.44961002,-99.11383992,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,"19.44961002,-99.11383992",10
C5/191016/03921,16/10/2019,13:35:39,Miércoles,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",16/10/2019,2019,Octubre,13:45:34,IZTAPALAPA,accidente-ciclista,19.36409004,-99.06687,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.36409004,-99.06687",10
C5/191016/05840,16/10/2019,17:35:24,Miércoles,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",16/10/2019,2019,Octubre,17:43:03,CUAUHTEMOC,accidente-ciclista,19.42287003,-99.12929004,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42287003,-99.12929004",10
C5/191017/02907,17/10/2019,11:27:11,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",17/10/2019,2019,Octubre,12:16:53,CUAUHTEMOC,accidente-ciclista,19.43451,-99.14267988,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.43451,-99.14267988",10
C5/191018/06334,18/10/2019,18:11:00,Viernes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",18/10/2019,2019,Octubre,18:12:32,BENITO JUAREZ,accidente-ciclista,19.38966003,-99.18504,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,"19.38966003,-99.18504",10
C5/191018/04458,18/10/2019,14:21:57,Viernes,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",18/10/2019,2019,Octubre,14:34:21,CUAUHTEMOC,accidente-ciclista,19.42515999,-99.15643008,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42515999,-99.15643008",10
C5/191018/08787,18/10/2019,22:47:25,Viernes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",19/10/2019,2019,Octubre,00:21:17,CUAUHTEMOC,accidente-ciclista,19.42428996,-99.15384996,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42428996,-99.15384996",10
C5/191019/03762,19/10/2019,11:12:15,Sábado,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",19/10/2019,2019,Octubre,11:47:48,COYOACAN,accidente-ciclista,19.32505002,-99.11900016,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,"19.32505002,-99.11900016",10
C5/191019/03120,19/10/2019,09:32:55,Sábado,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",19/10/2019,2019,Octubre,12:55:04,IZTAPALAPA,accidente-ciclista,19.36792998,-99.01031004,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.36792998,-99.01031004",10
C5/191019/03247,19/10/2019,09:51:09,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",19/10/2019,2019,Octubre,09:54:11,IZTAPALAPA,accidente-ciclista,19.37699001,-99.01913004,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.37699001,-99.01913004",10
C5/191020/04722,20/10/2019,11:32:57,Domingo,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",20/10/2019,2019,Octubre,11:37:25,CUAJIMALPA,accidente-ciclista,19.314037,-99.31073,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAJIMALPA,"19.314037,-99.31073",10
C5/191019/10304,19/10/2019,23:48:02,Sábado,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",20/10/2019,2019,Octubre,00:16:53,MIGUEL HIDALGO,accidente-ciclista,19.40025996,-99.17030016,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.40025996,-99.17030016",10
C5/191020/05303,20/10/2019,12:55:53,Domingo,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",20/10/2019,2019,Octubre,13:42:53,MIGUEL HIDALGO,accidente-ciclista,19.40873004,-99.19788984,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,"19.40873004,-99.19788984",10
C5/191022/04464,22/10/2019,15:20:45,Martes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",22/10/2019,2019,Octubre,15:22:58,GUSTAVO A. MADERO,accidente-ciclista,19.49366997,-99.08236008,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,"19.49366997,-99.08236008",10
C5/191022/04545,22/10/2019,15:33:08,Martes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",22/10/2019,2019,Octubre,15:35:12,GUSTAVO A. MADERO,accidente-ciclista,19.49366997,-99.08236008,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,"19.49366997,-99.08236008",10
C5/191023/06779,23/10/2019,20:10:17,Miércoles,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",23/10/2019,2019,Octubre,20:26:20,CUAUHTEMOC,accidente-ciclista,19.42704,-99.15837012,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42704,-99.15837012",10
C5/191023/00015,23/10/2019,00:02:36,Miércoles,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",23/10/2019,2019,Octubre,00:16:33,MIGUEL HIDALGO,accidente-ciclista,19.44519003,-99.16853004,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,"19.44519003,-99.16853004",10
C5/191023/06049,23/10/2019,18:32:10,Miércoles,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",23/10/2019,2019,Octubre,19:10:09,BENITO JUAREZ,accidente-ciclista,19.386089,-99.1612816,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,"19.386089,-99.1612816",10
C5/191023/04194,23/10/2019,14:43:54,Miércoles,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",23/10/2019,2019,Octubre,15:07:06,TLAHUAC,accidente-ciclista,19.2951,-99.02071008,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,"19.2951,-99.02071008",10
C5/191023/06323,23/10/2019,19:09:34,Miércoles,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",23/10/2019,2019,Octubre,20:34:39,CUAUHTEMOC,accidente-ciclista,19.40771997,-99.13768992,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.40771997,-99.13768992",10
C5/191024/07309,24/10/2019,21:28:35,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",24/10/2019,2019,Octubre,22:28:11,MIGUEL HIDALGO,accidente-ciclista,19.43915004,-99.21426984,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,"19.43915004,-99.21426984",10
C5/191024/02869,24/10/2019,11:37:49,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",24/10/2019,2019,Octubre,14:11:30,CUAUHTEMOC,accidente-ciclista,19.41200001,-99.16463988,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.41200001,-99.16463988",10
C5/191024/05966,24/10/2019,18:18:33,Jueves,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",24/10/2019,2019,Octubre,18:45:25,GUSTAVO A. MADERO,accidente-ciclista,19.46579004,-99.11800008,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,"19.46579004,-99.11800008",10
C5/191024/05645,24/10/2019,17:35:54,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",24/10/2019,2019,Octubre,18:01:38,CUAUHTEMOC,accidente-ciclista,19.43199999,-99.15674004,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.43199999,-99.15674004",10
C5/191024/03324,24/10/2019,12:36:20,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",24/10/2019,2019,Octubre,14:01:50,CUAUHTEMOC,accidente-ciclista,19.44291996,-99.16368984,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.44291996,-99.16368984",10
C5/191024/00984,24/10/2019,06:33:01,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",24/10/2019,2019,Octubre,07:12:59,CUAUHTEMOC,accidente-ciclista,19.44378999,-99.15982992,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.44378999,-99.15982992",10
C5/191025/04724,25/10/2019,15:09:14,Viernes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",25/10/2019,2019,Octubre,15:12:12,BENITO JUAREZ,accidente-ciclista,19.37376999,-99.17889012,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,"19.37376999,-99.17889012",10
