calle_lev,edad,origen,destino,motivo_viaje,motivo_dejar_bici,robado_bici,robo_forma,sexo,educacion,ingreso_mensual
CAMINO VIEJO A MIXCOAC,48,Trabajo,Hogar,Regreso a casa,Cambio de trabajo,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
VASCO DE QUIROGA,35,Hogar,Escuela,Trámite,Ningún motivo,No,,Hombre,Maestría,"<15,001"
VASCO DE QUIROGA,43,Trabajo,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Primaria,"6,001-10,000"
POSTA,54,Hogar,Otro,Trámite,Cambio de trabajo,No,,Hombre,Secundaria,"6,001-10,000"
CALZADA DE LOS LEONES,35,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Ningún motivo,No,,Hombre,Licenciatura,"10,001-15000"
AV. DE LAS CULTURAS,25,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
,28,Otro,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Licenciatura,"3,001-6,000"
FAJA DE ORO,21,Escuela,Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
FAJA DE ORO,18,Hogar,Trabajo,Ir al trabajo,No haya bici disponible,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
FAJA DE ORO,61,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,"1,001-3,000"
FAJA DE ORO,50,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Fala mecánica de bici,No,,Hombre,Preparatoria o Bachillerato,No contestó
FAJA DE ORO,42,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Primaria,No contestó
FAJA DE ORO,39,Hogar,Trabajo,Ir al trabajo,Clima,Sí,Estacionada,Mujer,Secundaria,"3,001-6,000"
EL ROSARIO,57,Hogar,Otro,Recreación,Ningún motivo,No,,Mujer,Licenciatura,No contestó
AV. DE LAS CULTURAS,21,Escuela,Hogar,Regreso a casa,Inseguridad,No,,Mujer,Licenciatura,"6,001-10,000"
AV. DE LAS GRANJAS,25,Hogar,Trabajo,Ir al trabajo,Falta de infraestructura,No,,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
CAMINO A NEXTENGO,43,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Ningún motivo,No,,Mujer,Preparatoria o Bachillerato,"1,001-3,000"
AV. CUITLAHUAC,19,Trabajo,Otra vivienda,Ir al trabajo,Clima,No,,Hombre,Preparatoria o Bachillerato,">1,000"
CAMARONES,18,Hogar,Escuela,Ir a estudiar,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
AV. CUITLAHUAC,20,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Clima,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
CALZADA ERMITA IZTAPALAPA,21,Trabajo,Hogar,Regreso a casa,Fala mecánica de bici,Sí,Estacionada,Mujer,Preparatoria o Bachillerato,"6,001-10,000"
CALZADA ERMITA IZTAPALAPA,24,Trabajo,Trabajo,Ir al trabajo,Cambio de trabajo,Sí,Estacionada,Hombre,Carrera Técnica,"3,001-6,000"
CALZADA ERMITA IZTAPALAPA,49,Trabajo,"Centro comercial, tienda, mercado",Hacer compras,Clima,Sí,Estacionada,Mujer,Carrera Técnica,"10,001-15000"
ISABEL LA CATOLICA,55,Trabajo,Trabajo,Relacionado con el trabajo,Lesión o incapacidad,No,,Hombre,Primaria,"1,001-3,000"
INDEPENDENCIA,69,Hogar,Trabajo,Relacionado con el trabajo,Fala mecánica de bici,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
AV. MICHOACAN,28,Trabajo,Hogar,Regreso a casa,Ningún motivo,No,,Hombre,Secundaria,"6,001-10,000"
AV GUELATAO,34,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Secundaria,"3,001-6,000"
AV GUELATAO,20,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,En movimiento,Hombre,Licenciatura,"3,001-6,000"
AV GELATAO,54,Hogar,Otro,Ir al trabajo,Inseguridad,No,,Hombre,Primaria,"1,001-3,000"
ERMITA IZTAPALAPA,27,Hogar,Trabajo,Ir al trabajo,Clima,Sí,En movimiento,Hombre,Secundaria,"3,001-6,000"
AV GAVILAN,17,Hogar,Otra vivienda,Ir de visita,No sé,No,,Hombre,Preparatoria o Bachillerato,No contestó
ERMITA IZTAPALAPA,19,Hogar,Trabajo,Ir al trabajo,Cambio de trabajo,Sí,Estacionada,Hombre,Secundaria,"1,001-3,000"
CAMINO ANTIGUO CULHUCAN,14,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Llevar prisa,No,,Mujer,Preparatoria o Bachillerato,No contestó
AV. JALISCO,15,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Secundaria,"6,001-10,000"
NI?OS HEROES,53,Otra vivienda,Trabajo,Ir al trabajo,Ningún motivo,Sí,Estacionada,Hombre,Primaria,No contestó
NI?OS HEROES,54,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Lesión o incapacidad,No,,Hombre,Primaria,No contestó
NI?OS HEROES,43,Hogar,Trabajo,Relacionado con el trabajo,Cambio de trabajo,Sí,En movimiento,Hombre,Secundaria,"3,001-6,000"
NI?OS HEROES,30,Hogar,Trabajo,Ir al trabajo,Clima,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
NI?OS HEROES,36,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Recorrido muy largo,No,,Mujer,Carrera Técnica,"1,001-3,000"
NI?OS HEROES,38,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Secundaria,"6,001-10,000"
CAMINO DE SANTA TERESA,28,Trabajo,Trabajo,Relacionado con el trabajo,Cambio de trabajo,No,,Hombre,Primaria,"1,001-3,000"
AV. FRANCISCO TLALTENCO,72,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Ningún motivo,Sí,En movimiento,Hombre,Secundaria,">1,000"
AV. FRANCISCO TLALTENCO,17,Trabajo,Hogar,Regreso a casa,Clima,No,,Hombre,Primaria,No contestó
AV. FRANCISCO TLALTENCO,31,Hogar,Otra vivienda,Ir de visita,Lesión o incapacidad,Sí,Estacionada,Mujer,Secundaria,"3,001-6,000"
AV. VILLA FRANQUEZA,23,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Fala mecánica de bici,No,,Mujer,Secundaria,">1,000"
AV DEL ROSAL,69,Trabajo,Trabajo,Relacionado con el trabajo,Fala mecánica de bici,No,,Hombre,Secundaria,"6,001-10,000"
AV DEL ARBOL,20,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,"6,001-10,000"
MARIANO MATAMOROS COL CONCEPCION,50,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Preparatoria o Bachillerato,"<15,001"
AV. SAN JERONOIMO,26,Hogar,Otro,Recreación,Fala mecánica de bici,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
AV. SAN JERONIMO,23,Otro,Otro,Recreación,Fala mecánica de bici,No,,Mujer,Preparatoria o Bachillerato,"10,001-15000"
AV SAN LUIS CABRERA,13,Hogar,Otro,Trámite,Fala mecánica de bici,No,,Hombre,Secundaria,No contestó
AVENIDA PALMAS,22,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Secundaria,"3,001-6,000"
AV. VILLA FRANQUEZA,32,Hogar,Otro,Hacer compras,Lesión o incapacidad,Sí,Estacionada,Mujer,Primaria,"1,001-3,000"
AV. VILLA FRANQUEZA,50,Trabajo,Hogar,Regreso a casa,Ningún motivo,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
AV. VILLA FRANQUEZA,53,Hogar,Otra vivienda,Llevar o recoger a alguien,Inseguridad,No,,Hombre,Secundaria,"6,001-10,000"
AV. VILLA FRANQUEZA,26,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Secundaria,"3,001-6,000"
AV. CONSTITUYENTES,50,Hogar,Trabajo,Relacionado con el trabajo,Lesión o incapacidad,No,,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
SCHILLER,20,Trabajo,Trabajo,Relacionado con el trabajo,Fala mecánica de bici,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
VOSGOS,27,Trabajo,Hogar,Regreso a casa,Clima,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
MARIANA NACIONAL,55,Hogar,Trabajo,Ir al trabajo,Fala mecánica de bici,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
AV. MARINA NACIONAL,43,Trabajo,Trabajo,Relacionado con el trabajo,Fala mecánica de bici,No,,Hombre,Secundaria,"1,001-3,000"
